datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
2007-03-01 12:00:00+00:00,Ibiapaba,230.5,148.9,-35.4
2007-03-01 12:00:00+00:00,Jaguaribana,189.5,117.0,-38.3
2007-03-01 12:00:00+00:00,Litoral De Fortaleza,250.8,160.5,-36.0
2007-03-01 12:00:00+00:00,Litoral De Pecem,231.5,132.9,-42.6
2007-03-01 12:00:00+00:00,Litoral Norte,264.2,164.2,-37.9
2007-03-01 12:00:00+00:00,Macico De Baturite,209.5,150.3,-28.3
2007-03-01 12:00:00+00:00,Sertao Central E Inhamuns,171.8,97.7,-43.1
2007-04-01 12:00:00+00:00,Cariri,178.5,129.4,-27.5
2007-04-01 12:00:00+00:00,Ibiapaba,208.0,191.9,-7.7
2007-04-01 12:00:00+00:00,Jaguaribana,184.2,165.2,-10.3
2007-04-01 12:00:00+00:00,Litoral De Fortaleza,263.3,275.6,4.7
2007-04-01 12:00:00+00:00,Litoral De Pecem,210.0,147.4,-29.8
2007-04-01 12:00:00+00:00,Litoral Norte,240.2,190.6,-20.6
2007-04-01 12:00:00+00:00,Macico De Baturite,222.5,268.8,20.8
2007-04-01 12:00:00+00:00,Sertao Central E Inhamuns,157.7,117.4,-25.5
2007-05-01 12:00:00+00:00,Cariri,64.1,42.6,-33.6
2007-05-01 12:00:00+00:00,Ibiapaba,97.0,35.3,-63.6
2007-05-01 12:00:00+00:00,Jaguaribana,100.6,67.6,-32.8
2007-05-01 12:00:00+00:00,Litoral De Fortaleza,148.9,111.3,-25.2
2007-05-01 12:00:00+00:00,Litoral De Pecem,112.0,51.0,-54.5
2007-05-01 12:00:00+00:00,Litoral Norte,121.5,52.1,-57.2
2007-05-01 12:00:00+00:00,Macico De Baturite,136.6,85.9,-37.1
2007-05-01 12:00:00+00:00,Sertao Central E Inhamuns,70.0,36.8,-47.4
2007-06-01 12:00:00+00:00,Cariri,20.1,12.8,-36.3
2007-06-01 12:00:00+00:00,Ibiapaba,32.8,28.9,-11.9
2007-06-01 12:00:00+00:00,Jaguaribana,43.2,45.6,5.4
2007-06-01 12:00:00+00:00,Litoral De Fortaleza,89.0,76.7,-13.8
2007-06-01 12:00:00+00:00,Litoral De Pecem,53.6,41.2,-23.2
2007-06-01 12:00:00+00:00,Litoral Norte,37.3,20.5,-45.1
2007-06-01 12:00:00+00:00,Macico De Baturite,81.6,58.2,-28.7
2007-06-01 12:00:00+00:00,Sertao Central E Inhamuns,29.0,21.4,-26.0
2007-07-01 12:00:00+00:00,Cariri,10.4,0.9,-91.2
2007-07-01 12:00:00+00:00,Ibiapaba,12.0,4.2,-64.7
2007-07-01 12:00:00+00:00,Jaguaribana,18.1,4.8,-73.3
2007-07-01 12:00:00+00:00,Litoral De Fortaleza,33.1,8.0,-75.8
2007-07-01 12:00:00+00:00,Litoral De Pecem,21.8,4.6,-79.1
2007-07-01 12:00:00+00:00,Litoral Norte,11.6,2.0,-82.6
2007-07-01 12:00:00+00:00,Macico De Baturite,33.9,9.5,-72.1
2007-07-01 12:00:00+00:00,Sertao Central E Inhamuns,12.9,5.1,-60.3
2007-08-01 12:00:00+00:00,Cariri,3.4,0.5,-86.8
2007-08-01 12:00:00+00:00,Ibiapaba,2.7,0.2,-94.5
2007-08-01 12:00:00+00:00,Jaguaribana,6.7,0.2,-97.5
2007-08-01 12:00:00+00:00,Litoral De Fortaleza,10.0,0.4,-95.7
2007-08-01 12:00:00+00:00,Litoral De Pecem,4.2,0.8,-81.8
2007-08-01 12:00:00+00:00,Litoral Norte,2.2,0.0,-100.0
2007-08-01 12:00:00+00:00,Macico De Baturite,12.9,1.5,-88.0
2007-08-01 12:00:00+00:00,Sertao Central E Inhamuns,4.8,0.3,-93.2
2007-09-01 12:00:00+00:00,Cariri,5.6,0.2,-97.3
2007-09-01 12:00:00+00:00,Ibiapaba,1.1,0.0,-100.0
2007-09-01 12:00:00+00:00,Jaguaribana,1.4,0.5,-65.7
2007-09-01 12:00:00+00:00,Litoral De Fortaleza,5.8,0.3,-94.7
2007-09-01 12:00:00+00:00,Litoral De Pecem,1.8,0.0,-100.0
2007-09-01 12:00:00+00:00,Litoral Norte,0.5,0.0,-100.0
2007-09-01 12:00:00+00:00,Macico De Baturite,4.5,0.5,-88.8
2007-09-01 12:00:00+00:00,Sertao Central E Inhamuns,1.9,0.1,-96.8
2007-10-01 12:00:00+00:00,Cariri,13.5,0.8,-94.0
2007-10-01 12:00:00+00:00,Ibiapaba,3.0,0.4,-85.5
2007-10-01 12:00:00+00:00,Jaguaribana,2.6,0.2,-92.3
2007-10-01 12:00:00+00:00,Litoral De Fortaleza,3.3,0.3,-90.4
2007-10-01 12:00:00+00:00,Litoral De Pecem,1.4,0.1,-89.8
2007-10-01 12:00:00+00:00,Litoral Norte,0.7,0.0,-100.0
2007-10-01 12:00:00+00:00,Macico De Baturite,3.5,0.4,-90.1
2007-10-01 12:00:00+00:00,Sertao Central E Inhamuns,3.6,0.2,-93.4
2007-11-01 12:00:00+00:00,Cariri,19.5,12.5,-35.9
2007-11-01 12:00:00+00:00,Ibiapaba,6.8,0.0,-100.0
2007-11-01 12:00:00+00:00,Jaguaribana,3.2,0.4,-87.5
2007-11-01 12:00:00+00:00,Litoral De Fortaleza,3.6,0.8,-79.1
2007-11-01 12:00:00+00:00,Litoral De Pecem,2.0,3.0,50.5
2007-11-01 12:00:00+00:00,Litoral Norte,1.4,0.1,-90.3
2007-11-01 12:00:00+00:00,Macico De Baturite,5.1,1.2,-76.6
2007-11-01 12:00:00+00:00,Sertao Central E Inhamuns,5.0,0.1,-99.0
2007-12-01 12:00:00+00:00,Cariri,68.0,70.8,4.2
2007-12-01 12:00:00+00:00,Ibiapaba,34.2,51.3,50.1
2007-12-01 12:00:00+00:00,Jaguaribana,21.4,8.1,-62.3
2007-12-01 12:00:00+00:00,Litoral De Fortaleza,25.3,34.5,36.5
2007-12-01 12:00:00+00:00,Litoral De Pecem,18.2,30.4,66.9
2007-12-01 12:00:00+00:00,Litoral Norte,20.5,44.3,115.8
2007-12-01 12:00:00+00:00,Macico De Baturite,23.9,17.4,-27.3
2007-12-01 12:00:00+00:00,Sertao Central E Inhamuns,32.2,42.7,32.5
2008-01-01 12:00:00+00:00,Cariri,147.7,205.7,39.2
2008-01-01 12:00:00+00:00,Ibiapaba,109.5,112.7,2.9
2008-01-01 12:00:00+00:00,Jaguaribana,84.7,81.6,-3.7
2008-01-01 12:00:00+00:00,Litoral De Fortaleza,96.2,92.5,-3.8
2008-01-01 12:00:00+00:00,Litoral De Pecem,87.5,119.1,36.2
2008-01-01 12:00:00+00:00,Litoral Norte,111.0,139.5,25.7
2008-01-01 12:00:00+00:00,Macico De Baturite,96.9,86.8,-10.5
2008-01-01 12:00:00+00:00,Sertao Central E Inhamuns,87.6,62.7,-28.4
2008-02-01 12:00:00+00:00,Cariri,157.7,212.3,34.6
2008-02-01 12:00:00+00:00,Ibiapaba,136.6,116.0,-15.1
2008-02-01 12:00:00+00:00,Jaguaribana,105.7,52.6,-50.3
2008-02-01 12:00:00+00:00,Litoral De Fortaleza,133.7,35.5,-73.5
2008-02-01 12:00:00+00:00,Litoral De Pecem,122.9,52.9,-57.0
2008-02-01 12:00:00+00:00,Litoral Norte,152.4,121.4,-20.4
2008-02-01 12:00:00+00:00,Macico De Baturite,116.8,27.3,-76.7
2008-02-01 12:00:00+00:00,Sertao Central E Inhamuns,97.7,89.4,-8.5
2008-03-01 12:00:00+00:00,Cariri,216.3,444.8,105.6
2008-03-01 12:00:00+00:00,Ibiapaba,230.5,325.0,41.0
2008-03-01 12:00:00+00:00,Jaguaribana,189.5,356.0,87.9
2008-03-01 12:00:00+00:00,Litoral De Fortaleza,250.8,269.1,7.3
2008-03-01 12:00:00+00:00,Litoral De Pecem,231.5,303.0,30.9
2008-03-01 12:00:00+00:00,Litoral Norte,264.2,362.5,37.2
2008-03-01 12:00:00+00:00,Macico De Baturite,209.5,233.2,11.3
2008-03-01 12:00:00+00:00,Sertao Central E Inhamuns,171.8,304.8,77.4
2008-04-01 12:00:00+00:00,Cariri,178.5,235.0,31.6
2008-04-01 12:00:00+00:00,Ibiapaba,208.0,278.9,34.1
2008-04-01 12:00:00+00:00,Jaguaribana,184.2,228.8,24.2
2008-04-01 12:00:00+00:00,Litoral De Fortaleza,263.3,366.8,39.3
2008-04-01 12:00:00+00:00,Litoral De Pecem,210.0,229.0,9.1
2008-04-01 12:00:00+00:00,Litoral Norte,240.2,343.5,43.0
2008-04-01 12:00:00+00:00,Macico De Baturite,222.5,276.8,24.4
2008-04-01 12:00:00+00:00,Sertao Central E Inhamuns,157.7,189.4,20.1
2008-05-01 12:00:00+00:00,Cariri,64.1,76.4,19.3
2008-05-01 12:00:00+00:00,Ibiapaba,97.0,99.5,2.6
2008-05-01 12:00:00+00:00,Jaguaribana,100.6,128.9,28.0
2008-05-01 12:00:00+00:00,Litoral De Fortaleza,148.9,134.7,-9.5
2008-05-01 12:00:00+00:00,Litoral De Pecem,112.0,137.9,23.2
2008-05-01 12:00:00+00:00,Litoral Norte,121.5,164.7,35.6
2008-05-01 12:00:00+00:00,Macico De Baturite,136.6,125.7,-8.0
2008-05-01 12:00:00+00:00,Sertao Central E Inhamuns,70.0,79.1,13.1
2008-06-01 12:00:00+00:00,Cariri,20.1,3.2,-84.1
2008-06-01 12:00:00+00:00,Ibiapaba,32.8,11.1,-66.1
2008-06-01 12:00:00+00:00,Jaguaribana,43.2,29.6,-31.5
2008-06-01 12:00:00+00:00,Litoral De Fortaleza,89.0,55.8,-37.2
2008-06-01 12:00:00+00:00,Litoral De Pecem,53.6,18.7,-65.1
2008-06-01 12:00:00+00:00,Litoral Norte,37.3,24.2,-35.0
2008-06-01 12:00:00+00:00,Macico De Baturite,81.6,41.7,-48.9
2008-06-01 12:00:00+00:00,Sertao Central E Inhamuns,29.0,11.5,-60.4
2008-07-01 12:00:00+00:00,Cariri,10.4,10.2,-1.5
2008-07-01 12:00:00+00:00,Ibiapaba,12.0,6.8,-43.5
2008-07-01 12:00:00+00:00,Jaguaribana,18.1,17.2,-4.9
2008-07-01 12:00:00+00:00,Litoral De Fortaleza,33.1,5.3,-84.0
