datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
1975-04-01 12:00:00+00:00,Macico De Baturite,222.5,195.1,-12.3
1975-04-01 12:00:00+00:00,Sertao Central E Inhamuns,157.7,127.1,-19.4
1975-05-01 12:00:00+00:00,Cariri,64.1,75.7,18.2
1975-05-01 12:00:00+00:00,Ibiapaba,97.0,205.1,111.4
1975-05-01 12:00:00+00:00,Jaguaribana,100.6,253.6,152.0
1975-05-01 12:00:00+00:00,Litoral De Fortaleza,148.9,283.2,90.2
1975-05-01 12:00:00+00:00,Litoral De Pecem,112.0,254.1,126.9
1975-05-01 12:00:00+00:00,Litoral Norte,121.5,279.2,129.8
1975-05-01 12:00:00+00:00,Macico De Baturite,136.6,228.3,67.1
1975-05-01 12:00:00+00:00,Sertao Central E Inhamuns,70.0,125.5,79.4
1975-06-01 12:00:00+00:00,Cariri,20.1,62.3,210.5
1975-06-01 12:00:00+00:00,Ibiapaba,32.8,47.0,43.4
1975-06-01 12:00:00+00:00,Jaguaribana,43.2,120.4,178.3
1975-06-01 12:00:00+00:00,Litoral De Fortaleza,89.0,130.8,47.0
1975-06-01 12:00:00+00:00,Litoral De Pecem,53.6,57.7,7.6
1975-06-01 12:00:00+00:00,Litoral Norte,37.3,52.2,40.1
1975-06-01 12:00:00+00:00,Macico De Baturite,81.6,106.4,30.4
1975-06-01 12:00:00+00:00,Sertao Central E Inhamuns,29.0,83.2,187.4
1975-07-01 12:00:00+00:00,Cariri,10.4,44.5,329.1
1975-07-01 12:00:00+00:00,Ibiapaba,12.0,34.2,185.8
1975-07-01 12:00:00+00:00,Jaguaribana,18.1,81.8,351.0
1975-07-01 12:00:00+00:00,Litoral De Fortaleza,33.1,112.6,240.3
1975-07-01 12:00:00+00:00,Litoral De Pecem,21.8,66.8,206.7
1975-07-01 12:00:00+00:00,Litoral Norte,11.6,44.2,280.1
1975-07-01 12:00:00+00:00,Macico De Baturite,33.9,83.3,145.5
1975-07-01 12:00:00+00:00,Sertao Central E Inhamuns,12.9,53.0,312.0
1975-08-01 12:00:00+00:00,Cariri,3.4,4.7,38.1
1975-08-01 12:00:00+00:00,Ibiapaba,2.7,4.0,46.4
1975-08-01 12:00:00+00:00,Jaguaribana,6.7,2.6,-61.8
1975-08-01 12:00:00+00:00,Litoral De Fortaleza,10.0,7.7,-23.2
1975-08-01 12:00:00+00:00,Litoral De Pecem,4.2,7.3,75.0
1975-08-01 12:00:00+00:00,Litoral Norte,2.2,5.9,176.1
1975-08-01 12:00:00+00:00,Macico De Baturite,12.9,7.1,-45.2
1975-08-01 12:00:00+00:00,Sertao Central E Inhamuns,4.8,11.9,145.7
1975-09-01 12:00:00+00:00,Cariri,5.6,8.5,53.4
1975-09-01 12:00:00+00:00,Ibiapaba,1.1,6.2,460.4
1975-09-01 12:00:00+00:00,Jaguaribana,1.4,3.0,119.0
1975-09-01 12:00:00+00:00,Litoral De Fortaleza,5.8,22.4,283.0
1975-09-01 12:00:00+00:00,Litoral De Pecem,1.8,17.0,858.2
1975-09-01 12:00:00+00:00,Litoral Norte,0.5,12.2,2320.3
1975-09-01 12:00:00+00:00,Macico De Baturite,4.5,18.3,310.7
1975-09-01 12:00:00+00:00,Sertao Central E Inhamuns,1.9,4.8,153.1
1975-10-01 12:00:00+00:00,Cariri,13.5,6.4,-53.0
1975-10-01 12:00:00+00:00,Ibiapaba,3.0,1.3,-58.6
1975-10-01 12:00:00+00:00,Jaguaribana,2.6,1.0,-60.3
1975-10-01 12:00:00+00:00,Litoral De Fortaleza,3.3,6.8,105.0
1975-10-01 12:00:00+00:00,Litoral De Pecem,1.4,2.2,64.0
1975-10-01 12:00:00+00:00,Litoral Norte,0.7,0.7,-0.4
1975-10-01 12:00:00+00:00,Macico De Baturite,3.5,3.7,4.3
1975-10-01 12:00:00+00:00,Sertao Central E Inhamuns,3.6,1.7,-52.7
1975-11-01 12:00:00+00:00,Cariri,19.5,9.9,-49.5
1975-11-01 12:00:00+00:00,Ibiapaba,6.8,3.9,-41.7
1975-11-01 12:00:00+00:00,Jaguaribana,3.2,1.7,-47.0
1975-11-01 12:00:00+00:00,Litoral De Fortaleza,3.6,9.1,149.1
1975-11-01 12:00:00+00:00,Litoral De Pecem,2.0,6.7,235.7
1975-11-01 12:00:00+00:00,Litoral Norte,1.4,2.5,69.8
1975-11-01 12:00:00+00:00,Macico De Baturite,5.1,10.0,94.8
1975-11-01 12:00:00+00:00,Sertao Central E Inhamuns,5.0,3.6,-28.2
1975-12-01 12:00:00+00:00,Cariri,68.0,76.3,12.2
1975-12-01 12:00:00+00:00,Ibiapaba,34.2,61.7,80.6
1975-12-01 12:00:00+00:00,Jaguaribana,21.4,26.3,23.1
1975-12-01 12:00:00+00:00,Litoral De Fortaleza,25.3,78.2,209.4
1975-12-01 12:00:00+00:00,Litoral De Pecem,18.2,49.6,171.9
1975-12-01 12:00:00+00:00,Litoral Norte,20.5,47.7,132.3
1975-12-01 12:00:00+00:00,Macico De Baturite,23.9,64.3,168.5
1975-12-01 12:00:00+00:00,Sertao Central E Inhamuns,32.2,31.1,-3.4
1976-01-01 12:00:00+00:00,Cariri,147.7,49.0,-66.9
1976-01-01 12:00:00+00:00,Ibiapaba,109.5,42.5,-61.2
1976-01-01 12:00:00+00:00,Jaguaribana,84.7,28.4,-66.4
1976-01-01 12:00:00+00:00,Litoral De Fortaleza,96.2,56.6,-41.2
1976-01-01 12:00:00+00:00,Litoral De Pecem,87.5,36.9,-57.8
1976-01-01 12:00:00+00:00,Litoral Norte,111.0,39.0,-64.9
1976-01-01 12:00:00+00:00,Macico De Baturite,96.9,52.9,-45.4
1976-01-01 12:00:00+00:00,Sertao Central E Inhamuns,87.6,26.2,-70.1
1976-02-01 12:00:00+00:00,Cariri,157.7,232.3,47.3
1976-02-01 12:00:00+00:00,Ibiapaba,136.6,230.0,68.3
1976-02-01 12:00:00+00:00,Jaguaribana,105.7,127.8,20.8
1976-02-01 12:00:00+00:00,Litoral De Fortaleza,133.7,264.2,97.6
1976-02-01 12:00:00+00:00,Litoral De Pecem,122.9,222.9,81.4
1976-02-01 12:00:00+00:00,Litoral Norte,152.4,235.0,54.2
1976-02-01 12:00:00+00:00,Macico De Baturite,116.8,142.1,21.7
1976-02-01 12:00:00+00:00,Sertao Central E Inhamuns,97.7,196.2,100.9
1976-03-01 12:00:00+00:00,Cariri,216.3,231.7,7.1
1976-03-01 12:00:00+00:00,Ibiapaba,230.5,222.6,-3.4
1976-03-01 12:00:00+00:00,Jaguaribana,189.5,204.9,8.1
1976-03-01 12:00:00+00:00,Litoral De Fortaleza,250.8,306.7,22.3
1976-03-01 12:00:00+00:00,Litoral De Pecem,231.5,226.8,-2.0
1976-03-01 12:00:00+00:00,Litoral Norte,264.2,215.0,-18.6
1976-03-01 12:00:00+00:00,Macico De Baturite,209.5,210.2,0.3
1976-03-01 12:00:00+00:00,Sertao Central E Inhamuns,171.8,160.5,-6.6
1976-04-01 12:00:00+00:00,Cariri,178.5,92.3,-48.3
1976-04-01 12:00:00+00:00,Ibiapaba,208.0,179.9,-13.5
1976-04-01 12:00:00+00:00,Jaguaribana,184.2,97.1,-47.3
1976-04-01 12:00:00+00:00,Litoral De Fortaleza,263.3,241.3,-8.3
1976-04-01 12:00:00+00:00,Litoral De Pecem,210.0,155.2,-26.1
1976-04-01 12:00:00+00:00,Litoral Norte,240.2,191.3,-20.4
1976-04-01 12:00:00+00:00,Macico De Baturite,222.5,167.3,-24.8
1976-04-01 12:00:00+00:00,Sertao Central E Inhamuns,157.7,98.8,-37.4
1976-05-01 12:00:00+00:00,Cariri,64.1,10.6,-83.5
1976-05-01 12:00:00+00:00,Ibiapaba,97.0,34.5,-64.5
1976-05-01 12:00:00+00:00,Jaguaribana,100.6,14.9,-85.2
